amostra,grupo,HCO3,SO4,Cl,Ca,Mg,Na
E01,Ellenburger_Dolomite,10.4,30.0,967.1,95.9,53.7,857.7
E02,Ellenburger_Dolomite,6.2,29.6,1174.9,111.7,43.9,1054.7
E03,Ellenburger_Dolomite,2.1,11.4,2387.1,348.3,119.3,1932.4
E04,Ellenburger_Dolomite,8.5,22.5,2186.1,339.6,73.6,1803.4
E05,Ellenburger_Dolomite,6.7,32.8,2015.5,287.6,75.1,1691.8
E06,Ellenburger_Dolomite,3.8,18.9,2175.8,340.4,63.8,1793.9
E07,Ellenburger_Dolomite,1.5,16.5,2367.0,412.0,95.8,1872.5
G08,Grayburg_Dolomite,25.6,0.0,134.7,12.7,7.1,134.7
G09,Grayburg_Dolomite,12.0,104.6,3163.8,95.6,90.1,3093.9
G10,Grayburg_Dolomite,9.0,104.0,1342.6,104.9,160.2,1190.1
G11,Grayburg_Dolomite,13.7,103.3,2151.6,103.7,70.0,2054.6
G12,Grayburg_Dolomite,16.6,92.3,905.1,91.5,50.9,871.4
G13,Grayburg_Dolomite,14.1,80.1,554.8,118.9,62.3,472.4
V14,Viola_Limestone,1.3,10.4,3399.5,532.3,235.6,2642.5
V15,Viola_Limestone,3.6,5.2,974.5,147.5,69.0,768.1
V16,Viola_Limestone,0.8,9.8,1430.2,295.7,118.4,1027.1
V17,Viola_Limestone,1.8,25.6,183.2,35.4,13.5,161.5
V18,Viola_Limestone,8.8,3.4,289.9,32.8,22.4,225.2
V19,Viola_Limestone,6.3,16.7,360.9,41.9,24.0,318.1
